STT;Tên VB;Số hiệu;Status
194;Luật Đấu giá tài sản;01/2016/QH14;Văn bản hết hiệu lực một phần
195;Luật Thuế xuất khẩu, thuế nhập khẩu;107/2016/QH13;Văn bản hết hiệu lực một phần
196;Luật sửa đổi, bổ sung một số điều của Luật Thuế giá trị gia tăng, Luật Thuế tiêu thụ đặc biệt và Luật Quản lý thuế;106/2016/QH13;Văn bản hết hiệu lực một phần
197;Luật Dược;105/2016/QH13;Văn bản hết hiệu lực một phần
198;Luật Báo chí;103/2016/QH13;Văn bản hết hiệu lực một phần
199;Luật Trẻ em;102/2016/QH13;Văn bản hết hiệu lực một phần
200;Luật An toàn thông tin mạng;86/2015/QH13;Văn bản hết hiệu lực một phần
201;Luật Kế toán;88/2015/QH13;Văn bản hết hiệu lực một phần
202;Luật Khí tượng thủy văn;90/2015/QH13;Văn bản hết hiệu lực một phần
203;Luật Tố tụng hành chính;93/2015/QH13;Văn bản hết hiệu lực một phần
204;Luật Phí và lệ phí;97/2015/QH13;Văn bản hết hiệu lực một phần
205;Luật Tổ chức cơ quan điều tra hình sự;99/2015/QH13;Văn bản hết hiệu lực một phần
206;Luật Bầu cử đại biểu Quốc hội và đại biểu Hội đồng nhân dân;85/2015/QH13;Văn bản hết hiệu lực một phần
207;Luật Tài nguyên, môi trường biển và hải đảo của Quốc hội, số 82/2015/QH13;82/2015/QH13;Văn bản hết hiệu lực một phần
208;Luật Kiểm toán Nhà nước;81/2015/QH13;Văn bản hết hiệu lực một phần
209;Luật Nghĩa vụ quân sự;78/2015/QH13;Văn bản hết hiệu lực một phần
210;Luật Mặt trận Tổ quốc Việt Nam;75/2015/QH13;Văn bản hết hiệu lực một phần
211;Luật An toàn, vệ sinh lao động;84/2015/QH13;Văn bản hết hiệu lực một phần
212;Luật sửa đổi, bổ sung một số điều của Luật Hàng không dân dụng Việt Nam;61/2014/QH13;Văn bản hết hiệu lực một phần
213;Luật Tổ chức Quốc hội;57/2014/QH13;Văn bản hết hiệu lực một phần
214;Luật Giáo dục nghề nghiệp;74/2014/QH13;Văn bản hết hiệu lực một phần
215;Luật sửa đổi, bổ sung một số điều của Luật Thi hành án dân sự;64/2014/QH13;Văn bản hết hiệu lực một phần
216;Luật Tổ chức Viện kiểm sát nhân dân;63/2014/QH13;Văn bản hết hiệu lực một phần
217;Luật sửa đổi, bổ sung một số điều của các Luật về thuế;71/2014/QH13;Văn bản hết hiệu lực một phần
